Day,From_2012-11-28,From_2016-07-09,From_2020-05-11,From_2024-04-20
1,,,,
2,3378.3082250415364,2899.375809802817,282.3278731671283,-0.052155902514980694
3,3381.4845864185518,2901.9305301563472,282.60139512641854,0.9105606406926104
4,3384.632300879031,2904.4602230564674,282.8710730948082,1.226363889171532
5,3387.6454314820344,2906.87318746095,283.12323826986847,0.7602897771846716
6,3390.6696070814087,2909.2955046100915,283.3767012787553,0.5020932178675296
7,3393.646808598254,2911.676954216936,283.6239780265731,0.15800801783881951
8,3396.6013775399047,2914.0386120428493,283.86821416424766,-0.16471135121711433
9,3399.535217832907,2916.3821299147276,284.1096588426683,-0.4680121115859581
10,3402.5126937193827,2918.7632112462607,284.35660640938084,-0.5986599695394624
