index,Date,Bitcoin,XRP,Crypto,Close
0,2020-01-05,14,1,2,7411.3173828125
1,2020-01-12,14,1,2,8192.494140625
2,2020-01-19,12,1,2,8706.2451171875
3,2020-01-26,13,1,2,8596.830078125
4,2020-02-02,13,1,2,9344.365234375
5,2020-02-09,16,2,3,10116.673828125
6,2020-02-16,14,1,2,9934.43359375
7,2020-02-23,14,1,2,9924.515625
8,2020-03-01,13,1,2,8562.4541015625
9,2020-03-08,24,1,2,8108.1162109375
10,2020-03-15,25,1,2,5392.31494140625
11,2020-03-22,19,1,2,5830.2548828125
12,2020-03-29,16,1,2,5922.04296875
13,2020-04-05,16,1,2,6791.12939453125
14,2020-04-12,15,1,2,6971.091796875
15,2020-04-19,15,1,2,7189.4248046875
16,2020-04-26,20,1,2,7679.8671875
17,2020-05-03,22,1,2,8897.46875
18,2020-05-10,26,1,2,8756.4306640625
19,2020-05-17,18,1,2,9670.7392578125
20,2020-05-24,16,1,2,8790.3681640625
21,2020-05-31,16,1,2,9461.05859375
22,2020-06-07,14,1,2,9758.8525390625
23,2020-06-14,13,1,2,9386.7880859375
24,2020-06-21,13,1,2,9303.6298828125
25,2020-06-28,12,1,2,9143.58203125
26,2020-07-05,12,1,2,9073.9423828125
27,2020-07-12,14,1,2,9276.5
28,2020-07-19,12,1,2,9185.8173828125
29,2020-07-26,21,2,3,9905.1669921875
30,2020-08-02,19,2,3,11053.6142578125
31,2020-08-09,16,1,3,11675.7392578125
32,2020-08-16,16,1,3,11892.8037109375
33,2020-08-23,14,1,3,11664.84765625
34,2020-08-30,15,1,3,11711.505859375
35,2020-09-06,14,1,3,10280.3515625
36,2020-09-13,13,1,3,10323.755859375
37,2020-09-20,12,1,2,10938.271484375
38,2020-09-27,11,1,2,10775.26953125
39,2020-10-04,11,1,2,10669.5830078125
40,2020-10-11,12,1,2,11384.181640625
41,2020-10-18,16,1,2,11483.359375
42,2020-10-25,17,1,2,13031.173828125
43,2020-11-01,19,1,2,13737.109375
44,2020-11-08,19,1,2,15479.5673828125
45,2020-11-15,26,2,3,15955.587890625
46,2020-11-22,28,6,4,18370.001953125
47,2020-11-29,26,3,3,18177.484375
48,2020-12-06,23,3,3,19345.12109375
49,2020-12-13,34,3,3,19142.3828125
50,2020-12-20,34,6,4,23477.294921875
51,2020-12-27,52,6,5,26272.294921875
52,2021-01-03,85,5,8,32782.0234375
53,2021-01-10,82,3,7,38356.44140625
54,2021-01-17,52,3,7,35791.27734375
55,2021-01-24,48,3,8,32289.37890625
56,2021-01-31,43,10,11,33114.359375
57,2021-02-07,77,5,15,38903.44140625
58,2021-02-14,73,5,13,48717.2890625
59,2021-02-21,81,5,13,57539.9453125
60,2021-02-28,53,3,9,45137.76953125
61,2021-03-07,51,2,10,51206.69140625
62,2021-03-14,53,2,12,59302.31640625
63,2021-03-21,45,3,11,57523.421875
64,2021-03-28,43,3,13,55950.74609375
65,2021-04-04,41,9,15,58758.5546875
66,2021-04-11,52,13,21,60204.96484375
67,2021-04-18,71,7,27,56216.18359375
68,2021-04-25,50,7,20,49004.25390625
69,2021-05-02,44,7,29,56631.078125
70,2021-05-09,57,6,36,58232.31640625
71,2021-05-16,100,6,32,46456.05859375
72,2021-05-23,68,4,21,34770.58203125
73,2021-05-30,51,4,15,35678.12890625
74,2021-06-06,52,3,14,35862.37890625
75,2021-06-13,42,2,12,39097.859375
76,2021-06-20,49,3,12,35698.296875
77,2021-06-27,33,2,10,34649.64453125
78,2021-07-04,29,2,9,35287.78125
79,2021-07-11,28,2,8,34240.1875
80,2021-07-18,34,2,9,31796.810546875
81,2021-07-25,38,3,10,35350.1875
82,2021-08-01,31,2,10,39974.89453125
83,2021-08-08,35,4,12,43798.1171875
84,2021-08-15,31,4,13,47047.00390625
85,2021-08-22,32,3,14,49321.65234375
86,2021-08-29,28,3,13,48829.83203125
87,2021-09-05,36,3,17,51753.41015625
88,2021-09-12,26,2,13,46063.26953125
89,2021-09-19,33,2,13,47260.21875
90,2021-09-26,28,2,11,43208.5390625
91,2021-10-03,32,3,14,48199.953125
92,2021-10-10,36,3,14,54771.578125
93,2021-10-17,47,3,16,61553.6171875
94,2021-10-24,37,3,24,60930.8359375
95,2021-10-31,30,3,28,61318.95703125
96,2021-11-07,37,3,26,63326.98828125
97,2021-11-14,38,3,26,65466.83984375
98,2021-11-21,35,2,26,58730.4765625
99,2021-11-28,36,2,25,57248.45703125
100,2021-12-05,39,2,21,49368.84765625
101,2021-12-12,35,3,19,50098.3359375
102,2021-12-19,31,3,18,46707.015625
103,2021-12-26,30,2,20,50809.515625
104,2022-01-02,41,2,25,47345.21875
105,2022-01-09,39,2,22,41911.6015625
106,2022-01-16,38,2,22,43113.87890625
107,2022-01-23,52,2,21,36276.8046875
108,2022-01-30,38,2,20,37917.6015625
109,2022-02-06,40,3,19,42412.43359375
110,2022-02-13,31,2,18,42197.515625
111,2022-02-20,40,2,15,38431.37890625
112,2022-02-27,36,2,15,37709.78515625
113,2022-03-06,30,2,14,38419.984375
114,2022-03-13,28,2,13,37849.6640625
115,2022-03-20,27,2,14,41247.82421875
116,2022-03-27,30,2,17,46820.4921875
117,2022-04-03,26,2,15,46453.56640625
118,2022-04-10,26,2,13,42207.671875
119,2022-04-17,22,1,13,39716.953125
120,2022-04-24,23,1,12,39469.29296875
121,2022-05-01,25,1,13,38469.09375
122,2022-05-08,56,2,25,34059.265625
123,2022-05-15,36,1,15,31305.11328125
124,2022-05-22,30,1,12,30323.72265625
125,2022-05-29,26,1,10,29445.95703125
126,2022-06-05,24,1,10,29906.662109375
127,2022-06-12,67,1,14,26762.6484375
128,2022-06-19,49,1,10,20553.271484375
129,2022-06-26,37,1,9,21027.294921875
130,2022-07-03,34,1,9,19297.076171875
131,2022-07-10,30,1,8,20860.44921875
132,2022-07-17,31,1,9,20779.34375
133,2022-07-24,26,1,8,22609.1640625
134,2022-07-31,23,1,8,23336.896484375
135,2022-08-07,22,1,9,23175.890625
136,2022-08-14,24,1,9,24319.333984375
137,2022-08-21,21,1,8,21534.12109375
138,2022-08-28,21,1,9,19616.814453125
139,2022-09-04,21,1,8,19986.712890625
140,2022-09-11,22,1,8,21769.255859375
141,2022-09-18,23,3,8,19419.505859375
142,2022-09-25,20,2,7,18802.09765625
143,2022-10-02,17,2,7,19044.107421875
144,2022-10-09,17,2,7,19446.42578125
145,2022-10-16,16,1,7,19268.09375
146,2022-10-23,18,2,7,19567.0078125
147,2022-10-30,19,2,8,20635.603515625
148,2022-11-06,34,2,12,20926.486328125
149,2022-11-13,30,2,12,16353.365234375
150,2022-11-20,23,1,8,16291.83203125
151,2022-11-27,20,1,8,16444.626953125
152,2022-12-04,19,1,7,17130.486328125
153,2022-12-11,19,1,8,17104.193359375
154,2022-12-18,18,1,7,16757.9765625
155,2022-12-25,17,1,7,16841.986328125
156,2023-01-01,18,1,7,16625.080078125
157,2023-01-08,20,1,8,17091.14453125
158,2023-01-15,24,1,8,20880.798828125
159,2023-01-22,22,1,8,22720.416015625
160,2023-01-29,22,1,8,23774.56640625
161,2023-02-05,19,1,8,22955.666015625
162,2023-02-12,21,1,7,21788.203125
163,2023-02-19,19,1,8,24327.642578125
164,2023-02-26,18,1,7,23561.212890625
165,2023-03-05,19,1,7,22435.513671875
166,2023-03-12,26,2,8,22163.94921875
167,2023-03-19,26,3,8,28038.67578125
168,2023-03-26,22,4,7,27994.330078125
169,2023-04-02,20,2,7,28199.30859375
170,2023-04-09,25,2,8,28333.05078125
171,2023-04-16,21,2,7,30315.35546875
172,2023-04-23,20,2,7,27591.384765625
173,2023-04-30,19,1,7,29268.806640625
174,2023-05-07,19,1,7,28454.978515625
175,2023-05-14,16,2,6,26930.638671875
176,2023-05-21,16,2,6,26753.826171875
177,2023-05-28,18,2,6,28085.646484375
178,2023-06-04,18,2,7,27119.06640625
179,2023-06-11,18,3,6,25940.16796875
180,2023-06-18,21,2,6,26336.212890625
181,2023-06-25,20,2,6,30480.26171875
182,2023-07-02,20,2,6,30620.76953125
183,2023-07-09,19,8,7,30171.234375
184,2023-07-16,18,7,7,30249.1328125
185,2023-07-23,18,4,7,30084.5390625
186,2023-07-30,17,3,6,29275.30859375
187,2023-08-06,17,3,6,29041.85546875
188,2023-08-13,19,3,7,29282.9140625
189,2023-08-20,18,2,6,26189.583984375
190,2023-08-27,18,2,6,26089.693359375
191,2023-09-03,16,2,6,25969.56640625
192,2023-09-10,16,2,6,25832.2265625
193,2023-09-17,16,2,6,26534.1875
194,2023-09-24,15,2,6,26256.826171875
195,2023-10-01,16,2,6,27983.75
196,2023-10-08,16,2,5,27935.08984375
197,2023-10-15,17,2,6,27159.65234375
198,2023-10-22,26,3,7,29993.896484375
199,2023-10-29,20,3,7,34538.48046875
200,2023-11-05,22,5,8,35049.35546875
201,2023-11-12,21,3,8,37054.51953125
202,2023-11-19,20,3,8,37386.546875
203,2023-11-26,20,2,7,37479.12109375
204,2023-12-03,30,3,9,39978.390625
205,2023-12-10,24,3,9,43779.69921875
206,2023-12-17,23,2,9,41364.6640625
207,2023-12-24,22,3,10,43016.1171875
208,2023-12-31,29,3,11,42265.1875
209,2024-01-07,43,3,10,43943.09765625
210,2024-01-14,25,2,9,41796.26953125
211,2024-01-21,23,2,8,41545.78515625
212,2024-01-28,19,2,8,42035.59375
213,2024-02-04,20,2,8,42583.58203125
214,2024-02-11,29,2,10,48293.91796875
215,2024-02-18,23,2,10,52122.546875
216,2024-02-25,42,3,14,51733.23828125
217,2024-03-03,53,3,19,63167.37109375
218,2024-03-10,46,4,17,69019.7890625
219,2024-03-17,38,3,14,68390.625
220,2024-03-24,33,2,14,67234.171875
221,2024-03-31,30,2,12,71333.6484375
222,2024-04-07,30,2,12,69362.5546875
223,2024-04-14,42,2,10,65738.7265625
224,2024-04-21,26,2,10,64926.64453125
225,2024-04-28,26,2,9,63113.23046875
226,2024-05-05,22,2,8,64031.1328125
227,2024-05-12,21,2,9,61448.39453125
228,2024-05-19,23,2,9,66278.3671875
229,2024-05-26,19,2,10,68518.09375
230,2024-06-02,20,2,10,67751.6015625
231,2024-06-09,19,2,10,69647.9921875
232,2024-06-16,18,2,9,66639.046875
233,2024-06-23,19,1,8,63180.796875
234,2024-06-30,22,2,9,62678.29296875
235,2024-07-07,21,2,8,55849.109375
236,2024-07-14,23,4,9,60787.79296875
237,2024-07-21,23,3,10,68154.5234375
238,2024-07-28,22,3,8,68255.8671875
239,2024-08-04,35,5,10,58116.9765625
