index,Date,Bitcoin,XRP,Crypto,BTC_Price,XRP_Price
0,2020-12-01,28,3,3,18802.998046875,0.6129230260848999
1,2020-12-02,22,2,2,19201.091796875,0.6298930048942566
2,2020-12-03,21,2,3,19445.3984375,0.6314830183982849
3,2020-12-04,21,2,2,18699.765625,0.5572620034217834
4,2020-12-05,18,2,2,19154.23046875,0.5844209790229797
5,2020-12-06,18,2,2,19345.12109375,0.6198509931564331
6,2020-12-07,19,2,2,19191.630859375,0.6089339852333069
7,2020-12-08,18,2,2,18321.14453125,0.5588359832763672
8,2020-12-09,19,2,2,18553.916015625,0.5835899710655212
9,2020-12-10,17,2,2,18264.9921875,0.572953999042511
10,2020-12-11,18,2,2,18058.904296875,0.5464829802513123
11,2020-12-12,15,3,2,18803.65625,0.506401002407074
12,2020-12-13,17,2,2,19142.3828125,0.51146399974823
13,2020-12-14,16,2,2,19246.64453125,0.49771198630332947
14,2020-12-15,17,2,2,19417.076171875,0.46970999240875244
15,2020-12-16,33,3,3,21310.59765625,0.5686280131340027
16,2020-12-17,54,3,3,22805.162109375,0.5766770243644714
17,2020-12-18,37,2,3,23137.9609375,0.5842800140380859
18,2020-12-19,31,2,3,23869.83203125,0.5791630148887634
19,2020-12-20,30,2,3,23477.294921875,0.5560579895973206
20,2020-12-21,32,2,3,22803.08203125,0.5169439911842346
21,2020-12-22,27,3,3,23783.029296875,0.4484480023384094
22,2020-12-23,26,10,3,23241.345703125,0.25860199332237244
23,2020-12-24,23,8,3,23735.94921875,0.33781901001930237
24,2020-12-25,28,6,3,24664.791015625,0.3180910050868988
25,2020-12-26,39,4,3,26437.037109375,0.29471299052238464
26,2020-12-27,51,4,4,26272.294921875,0.28303900361061096
27,2020-12-28,42,4,4,27084.80859375,0.2479580044746399
28,2020-12-29,36,10,4,27362.4375,0.22096200287342072
29,2020-12-30,41,6,4,28840.953125,0.21182799339294434
30,2020-12-31,41,4,4,29001.720703125,0.2198459953069687
31,2021-01-01,41,4,4,29374.15234375,0.23744399845600128
32,2021-01-02,67,4,5,32127.267578125,0.2216549962759018
33,2021-01-03,78,4,7,32782.0234375,0.2258480042219162
34,2021-01-04,65,4,6,31971.9140625,0.23667700588703156
35,2021-01-05,55,3,6,33992.4296875,0.22675000131130219
36,2021-01-06,60,4,7,36824.36328125,0.2508949935436249
37,2021-01-07,90,7,8,39371.04296875,0.32600200176239014
38,2021-01-08,92,4,7,40797.609375,0.32322999835014343
39,2021-01-09,70,3,7,40254.546875,0.32691600918769836
40,2021-01-10,69,3,8,38356.44140625,0.31833600997924805
41,2021-01-11,100,3,7,35566.65625,0.28890499472618103
42,2021-01-12,74,2,5,33922.9609375,0.2921229898929596
43,2021-01-13,67,2,5,37316.359375,0.3055799901485443
44,2021-01-14,68,3,6,39187.328125,0.2954379916191101
45,2021-01-15,58,2,5,36825.3671875,0.28040599822998047
46,2021-01-16,48,2,6,36178.140625,0.2801879942417145
47,2021-01-17,45,2,6,35791.27734375,0.2773840129375458
48,2021-01-18,43,2,5,36630.07421875,0.2847689986228943
49,2021-01-19,42,3,6,36069.8046875,0.2943139970302582
50,2021-01-20,41,2,5,35547.75,0.2965179979801178
51,2021-01-21,52,2,5,30825.69921875,0.26894599199295044
52,2021-01-22,53,2,5,33005.76171875,0.27279898524284363
53,2021-01-23,39,2,5,32067.642578125,0.271820992231369
54,2021-01-24,35,2,5,32289.37890625,0.2735089957714081
55,2021-01-25,37,2,5,32366.392578125,0.269089013338089
56,2021-01-26,35,2,5,32569.849609375,0.26882699131965637
57,2021-01-27,40,2,5,30432.546875,0.2519429922103882
58,2021-01-28,38,2,7,33466.09765625,0.26412200927734375
59,2021-01-29,64,2,16,34316.38671875,0.2821879982948303
60,2021-01-30,43,9,10,34269.5234375,0.44024398922920227
61,2021-01-31,37,14,10,33114.359375,0.49231401085853577
62,2021-02-01,39,21,9,33537.17578125,0.37150898575782776
63,2021-02-02,35,7,8,35510.2890625,0.369269996881485
64,2021-02-03,36,4,8,37472.08984375,0.3934899866580963
65,2021-02-04,38,5,10,36926.06640625,0.44644901156425476
66,2021-02-05,36,4,11,38144.30859375,0.45004698634147644
67,2021-02-06,43,3,10,39266.01171875,0.43909600377082825
68,2021-02-07,37,3,11,38903.44140625,0.41795799136161804
69,2021-02-08,84,3,12,46196.46484375,0.44770199060440063
70,2021-02-09,100,4,13,46481.10546875,0.47199100255966187
71,2021-02-10,63,4,12,44918.18359375,0.503445029258728
72,2021-02-11,63,4,13,47909.33203125,0.5247870087623596
73,2021-02-12,58,5,13,47504.8515625,0.6085919737815857
74,2021-02-13,48,5,13,47105.515625,0.6289960145950317
75,2021-02-14,54,5,12,48717.2890625,0.5941929817199707
76,2021-02-15,52,4,11,47945.05859375,0.5489150285720825
77,2021-02-16,60,4,10,49199.87109375,0.5208460092544556
78,2021-02-17,67,4,10,52149.0078125,0.5355370044708252
79,2021-02-18,61,3,11,51679.796875,0.5324329733848572
80,2021-02-19,68,4,13,55888.1328125,0.567018985748291
81,2021-02-20,74,4,14,56099.51953125,0.5175120234489441
82,2021-02-21,69,4,13,57539.9453125,0.5485600233078003
83,2021-02-22,76,10,13,54207.3203125,0.571740984916687
84,2021-02-23,94,5,13,48824.42578125,0.47356298565864563
85,2021-02-24,72,3,10,49705.33203125,0.4718320071697235
86,2021-02-25,60,2,9,47093.8515625,0.4345239996910095
87,2021-02-26,61,3,9,46339.76171875,0.4278999865055084
88,2021-02-27,46,2,9,46188.453125,0.4378089904785156
